Token,FinalTokenMap
SAVINASE,SAVINASE
SCALLOP,SCALLOP
SCOTCH,SCOTCH
BROOM,BROOM
SESAME,SESAME
SHEEP,SHEEP
SORREL,SORREL
WOOL,WOOL
SHRIMP,SHRIMP
SILK,SILK
CEPHALOTHIN,CEPHALOTHIN
WASTE,WASTE
STA,MINUTES
SNAPPER,SNAPPER
SOLE,SOLE
SPINACH,SPINACH
SPRUCE,SPRUCE
SQUASH,SQUASH
BOTRYOSUM,BOTRYOSUM
SIRO,SIRO
PUTRESCENTIAE,PUTRESCENTIAE
STRAWBERRY,STRAWBERRY
CANE,CANE
SUNFLOWER,SUNFLOWER
SWORDFISH,SWORDFISH
SYCAMORE,SYCAMORE
MANDARIN,MANDARIN
TAPIOCA,TAPIOCA
SALTWORT,SALTWORT
THYME,THYME
CIGARETTE,TOBACCO
TOMATO,TOMATO
TRAGACANTH,TRAGACANTH
VIRIDE,VIRIDE
TRICHOPHYTON,TRICHOPHYTON
RUBRUM,RUBRUM
TRICHOSPORON,TRICHOSPORON
TMA,TRIMELLITIC
TROUT,TROUT
TUNA,TUNA
TURNIP,TURNIP
FFST,HOURS
VANILLA,VANILLA
VEAL,VEAL
PELLITORY,PELLITORY
ENG,ENGLISH
JACKET,JACKET
WATERMELON,WATERMELON
RUST,RUST
WHITEFISH,WHITEFISH
WILLOW,WILLOW
PUSSY,PUSSY
WINGSCALE,WINGSCALE
WORMWOOD,WORMWOOD
BAKERS,BAKERS
BREWERS,BREWERS
ETHIONAMIDE,ETHIONAMIDE
RIFABUTIN,RIFABUTIN
CUMIN,CUMIN
PHEASANT,PHEASANT
CD28,CD28
11DOC,11
PYLORI,PYLORI
GLYCOPROT1,2
CENTROMERE,CENTROMERE
N2,NITROGEN
BUTANE, BUTANE
DROPERIDOL,DROPERIDOL
PSILOCIN,PSILOCIN
CARBOXYTHC,CARBOXY
DECHLORANE,DECHLORANE
10,10
HENSELAE,HENSELAE
QUINTANA,QUINTANA
CHLORDIAZEP,CHLORDIAZEPOXIDE
BUPRENORPHINE,BUPRENORPHINE
CHLORPHENIR,CHLORPHENIRAMINE
DIETHYLPROPION,DIETHYLPROPION
ETHYLAMPHET,ETHYLAMPHETAMINE
LEVORPHANOL,LEVORPHANOL
LSD,LYSERGATE
EPHEDRINE, METHYLEPHEDRINE
METHYPRYLON,METHYPRYLON
NALBUPHINE,NALBUPHINE
PENTAZOCINE,PENTAZOCINE
600,HOURS
FUR,600
PHENMETRAZINE,PHENMETRAZINE
PHENOTHIAZ,PHENOTHIAZINES
PHENTERMINE,PHENTERMINE
CANNABINOIDS,CANNABINOIDS
5000,EAR
IR,INTERNAL ROTATION
AMM,AMMONIUM
NEWBERYITE,NEWBERYITE
COD,CALCIUM OXALATE DIHYDRATE
COM,CALCIUM OXALATE MONOHYDRATE
CAHPO4,CALCIUM
VTN,VEROTOXIN
2HEXANOL,2
2METHOXYETHANOL,2
ACETAZOLAMIDE,ACETAZOLAMIDE
ACETYLSALICYLATE,ACETYLSALICYLATE
TART,BLOOD
ACYCLOVIR,ACYCLOVIR
ACYL,ACYL
BIPERIDEN,BIPERIDEN
ALT,ALANINE
ALDRIN, ALDRIN
ALFENTANIL,ALFENTANIL
ALIPH,HYDROCARBONS
52H,SERUM
TID,TRANSIENT ISCHEMIC DILATION
AMANTADINE,AMANTADINE
AMILORIDE,AMILORIDE
DESETH,DESETHYLAMIODARONE
CLAV,CLAVULANATE
AMPHOTERICIN,AMPHOTERICIN
96H,SERUM
ETHAMBUTOL,ETHAMBUTOL
ANTICONVULSANTS,ANTICONVULSANTS
ANTIDEPRESSANTS,ANTIDEPRESSANTS
ANTIDIURETICS,ANTIDIURETICS
RODENT,RODENT
SUBST,SUBSTRATE
AROM,ACTIVE
SOLVENTS,SOLVENTS
ARYLAMIDASE, ARYLAMIDASE
ASBESTOS, ASBESTOS
AMSTELODAMI,AMSTELODAMI
VERSICOLOR,VERSICOLOR
AZATADINE, AZATADINE
AZATHIOPRINE,AZATHIOPRINE
AZITHROMYCIN,AZITHROMYCIN
AZITHRO,AZITHROMYCIN
ETHAMBUT,ETHAMBUTOL
AZLOCILLIN,AZLOCILLIN
AZTREONAM,AZTREONAM
SALICYLAZOSULFAPYRIDINE,SULFASALAZINE
WAX,WAX
BENDROFLUMETHIAZ, BENDROFLUMETHIAZIDE
BENZALDEHYDE,BENZALDEHYDE
BENZENE,BENZENE
BENZONATATE, BENZONATATE
BENZOPHENONE,BENZOPHENONE
COCAINE,COCAINE
BENZTHIAZIDE,BENZTHIAZIDE
BENZYLHYDRAZINE,BENZYLHYDRAZINE
BETHANECHOL,BETHANECHOL
DI,DI
EXG,EXHALED
BISMUTH,BISMUTH
WHEAL,REACTION
TU,POST
BOYSENBERRRY,BOYSENBERRY
BROMODIPHENHYD,BROMODIPHENHYDRAMINE
BORDER,BORDER
BUMETANIDE,BUMETANIDE
GLGB,1
JEJUNI,JEJUNI
LARI,LARI
CAMPYLOBACTER,CAMPYLOBACTER
1NAPHTHALENE,1
CANRENONE,CANRENONE
CAPREOMYCIN,CAPREOMYCIN
CAPTOPRIL,CAPTOPRIL
CARBAMATE,CARBAMATE
CARBINOXAMINE, CARBINOXAMINE
DEOXY,DEOXY
OXY,100
CARBOHYDRATES,CARBOHYDRATES
CATHARTIC,CATHARTIC
LAXATIVES,LAXATIVES
CATHEPSIN,CATHEPSIN
CEFACLOR,CEFACLOR
CEFADROXIL,CEFADROXIL
CEFAZOLIN,CEFAZOLIN
CEFIXIME,CEFIXIME
CEPHADRINE,CEPHADRINE
ARYLSULFATASE,N
CEREBROSIDE,CEREBROSIDE
SULFATASE,SULFATASE
CHLOROCYCLINE, CHLOROCYCLINE
CHLORINE, CHLORINE
CHLORPHENTERMIN, CHLORPHENTERMINE
CHLORPYRIFOS,CHLORPYRIFOS
CHLORTHALIDONE,CHLORTHALIDONE
HGC,CHORIOGONADOTROPIN
CLARITHRO,CLARITHROMYCIN
ETHAMB,ETHAMBUTOL
CLINDAMYCIN,CLINDAMYCIN
CLOFAZAMINE,CLOFAZIMINE
CLOXACILLIN,CLOXACILLIN
11OXYCORTICOSTERONE,11
COCCIDIOIDES,COCCIDIOIDES
COCKATOO,COCKATOO
COLISTIN,COLISTIN
COPROGEN,COPROPORPHYRINOGEN
CILANTRO,CILANTRO
CANINE,CANINE
17OHKS,17
80M,SERUM
BURNET,BURNETII
CRESOLS,CRESOLS
CYCLOHEXANOL, CYCLOHEXANOL
CYCLOSERINE,CYCLOSERINE
CYPROHEPTADINE,CYPROHEPTADINE
LAR,LARVA
DENV1,DENGUE
DENV2,DENGUE
DENV3,DENGUE
DENV4,DENGUE
DENV,DENGUE
18OHB,18
DESMETHYLMETHSUXIMIDE,DESMETHYLMETHSUXIMIDE
MORAMIDE, DEXTROMORAMIDE
DIACETATE, DEPRECATED
DIALTRAZENE, DEPRECATED
DICAMBA,DICAMBA
DCB, DICHLOROBENZENE
DICHLORVOS, DICHLORVOS
DICOUMAROL,DICOUMAROL
DICYCLOMINE,DICYCLOMINE
DEHYDROG,HYDROXYBUTYRATE
DIETHYLCARBAMAZEPINE,DIETHYLCARBAMAZEPINE
DILTIAZEM,DILTIAZEM
DINITROPHENOL,DINITROPHENOL
DISULFIRAM,DISULFIRAM
20OHP,20
24R, 24R
CALCIDIOL,CALCIDIOL
DESMETHY,DESMETHYLDOXEPIN
DOXYLAMINE,DOXYLAMINE
ECV,ECHOVIRUS
ECV1,ECHOVIRUS
ECV14,ECHOVIRUS
ECHOVIRUS, DEPRECATED
140,DEPRECATED
ECV19,ECHOVIRUS
ECV3,ECHOVIRUS
ECV30,ECHOVIRUS
ECV4,ECHOVIRUS
ECV40,ECHOVIRUS
ECV6,ECHOVIRUS
ECV9,ECHOVIRUS
PHAGOCYTOPH,PHAGOCYTOPHILUM
ARACHIDATE,ARACHIDATE
ENOXACIN,ENOXACIN
ETEC,ESCHERICHIA
SXT,SHIGA
VT,TIDAL
3ME4OH,3
PHENYLGLYCOL,METHOXY
ETHACRYNATE,ETHACRYNATE
RIFAMPIN,RIFAMPIN
ETHOHEPTAZINE,ETHOHEPTAZINE
CEPHRADINE,CEPHRADINE
ETODOLAC,ETODOLAC
FENCLORVOS, FENCLORVOS
FPA,FIBRINOPEPTIDE
FPB,FIBRINOPEPTIDE
BETA1,BETA
14,SEROTYPE
42,BETA
BETA15,B
BETA43,B
47,BETA
FLUBIPROFEN,FLURBIPROFEN
FLUOROCARBONS,FLUOROCARBONS
4PYRIDOXATE,4
LAMBLIA65,LAMBLIA
5NT,5
GLIADIN,GLIADIN
MTHFR,MTHFR
GLUTATHIONE,GLUTATHIONE
GLYCOPROTS,GLYCOPROTEINS
AUGUSTINE,AUGUSTINE
GUAIFENESIN,GUAIFENESIN
PUUV,HANTAVIRUS
A3,A3
DNAP,B
HGV,HEPATITIS G VIRUS
HEPTA, HEPTACARBOXYLPORPHYRIN
HEPTACHLOR,HEPTACHLOR
HEPTACHLOREPOXIDE, HEPTACHLOREPOXIDE
HERBICIDE,HERBICIDE
HEXA, HEXACARBOXYLPORPHYRIN
5MTHF,5
HCE, HEXACHLOROETHANE
HEXOKINASE1,HEXOKINASE
HEXOKINASE3,HEXOKINASE
HISTONE, HISTONE
6PGD,6
HYDRASTINE,HYDRASTINE
IDURONIDASE,ALPHA
HYDROQUINONE, HYDROQUINONE
ACETALDEHYDE,ACETALDEHYDE
HYPOXANTHINE,HYPOXANTHINE
IGA1,IGA
IGA2,IGA
IMIPENEM,IMIPENEM
FLUBV,INFLUENZA
IL1,INTERLEUKIN
IL7,INTERLEUKIN
KETOPROFEN,KETOPROFEN
KETOROLAC,KETOROLAC
LABETALOL,LABETALOL
LAMELLAR,LAMELLAR
BENCARD,BENCARD
LONGBEACHAE2,LONGBEACHAE
PNEUMO1,PNEUMOPHILA
PNEUMO2,PNEUMOPHILA
PNEUMO3,PNEUMOPHILA
PNEUMO4,PNEUMOPHILA
PNEUMO5,PNEUMOPHILA
PNEUMO6,PNEUMOPHILA
PNEUMO7,PNEUMOPHILA
PNEUMO8,PNEUMOPHILA
PNEUMO9,PNEUMOPHILA
EFA,FATTY
ACH, ACETYLCHOLINE
LCFA,FATTY
LP,LIPOPROTEIN
ACHE,ACETYLCHOLINESTERASE
LOPERAMIDE,LOPERAMIDE
LORCAINIDE,LORCAINIDE
LOXAPINE,LOXAPINE
LOX,HYDROXYLOXAPINE
LUMPFISH,LUMPFISH
ROE,ROE
CD100,CD100
CD102,CD102
CD103,CD103
CD104,CD104
CD105,CD105
CD106,CD106
CD107A,CD107A
CD107B,CD107B
CD115,CD115
CD117,CD117
CD118,CD118
CD11A,CD11A
CD12,CD12
CD120A,CD120A
CD120B,CD120B
CD122,CD122
CD126,CD126
CD128,CD128
CD16B,CD16B
CD17,CD17
CD18,CD18
CD24,CD24
CD27,CD27
CD69,CD69
IL2R1,IL2R1
CD31,CD31
CD32,CD32
CD36,CD36
CD37,CD37
CD39,CD39
2H4,CELLS
CD40,CD40
CD41,CD41
CD42A,CD42A
CD42B,CD42B
CD42C,CD42C
CD42D,CD42D
CD44,CD44
CD44R,CD44R
CD45RB,CD45RB
CD45RO,CD45RO
CD46,CD46
CD47,CD47
CD48,CD48
CD49A,CD49A
CD49B,CD49B
CD49C,CD49C
CD49D,CD49D
CD49E,CD49E
CD49F,CD49F
CD50,CD50
CD51,CD51
CD52,CD52
CD53,CD53
CD54,CD54
CD55,CD55
CD58,CD58
CD59,CD59
CD6,CD6
CD62E,CD62E
CD62L,CD62L
CD62P,CD62P
CD63,CD63
CD64,CD64
CD66A,CD66A
CD66B,CD66B
ACAD,ACYL
CD66C,CD66C
CD66D,CD66D
CD66E,CD66E
CD68,CD68
CD72,CD72
CD73,CD73
ADENINE,ADENINE
CD74,CD74
CD77,CD77
CD79A,CD79A
CD79B,CD79B
CD80,CD80
CD82,CD82
CD83,CD83
APRT,ADENINE
CD85,CD85
CD86,CD86
CD87,CD87
CD88,CD88
CD9,CD9
CD91,CD91
CD93,CD93
CD94,CD94
CD95,CD95
CD96,CD96
CD97,CD97
CD98,CD98
CD99,CD99
CYCD3,CYTOPLASMIC
CYCD79,CYCD79
CYIG,CYTOPLASMIC
MU,IG
FMC7,FMC7
CD235A,CD235A
HLE,LYMPHOCYTES
SMIG, DEPRECATED
CD79,CD79
ADENOSINE,ADENOSINE
MALIGNIN, MALIGNIN
ADP,AGGREGATION
MEFENAMATE,MEFENAMATE
MELANIN, MELANIN
MENTHOL, MENTHOL
METANDIENONE,METANDIENONE
METHAPYRILENE,METHAPYRILENE
METHEMALB,METHEMALBUMIN
METHOCARBAMOL,METHOCARBAMOL
DESMETHYL,NORMETHSUXIMIDE
ACRYLATE, ETHYL
1TCE,1
MDA,METHYLENEDIOXYAMPHETAMINE
ERGONOVINE, METHYLERGONOVINE
PENTANE, PENTANE
MICONAZOLE,MICONAZOLE
MINOXIDIL,MINOXIDIL
MIRTAZAPINE,MIRTAZAPINE
MSG,MONOSODIUM
FERMENTANS,FERMENTANS
NALIDIXATE,NALIDIXATE
W135,W135
ADSL,ADENYLOSUCCINATE
POLYVAL, LEGIONELLA
NEOPTERIN,NEOPTERIN
NEOSTIGMINE,NEOSTIGMINE
NEURONAL,NEURONAL
HEPTANE, HEPTANE
HEXANE, HEXANE
NICOTINAMIDE,NICOTINAMIDE
NITROPRUSSIDE,NITROPRUSSIDE
NIZATIDINE,NIZATIDINE
NOMIFENSINE,NOMIFENSINE
STAND,STANDING
NORFLUNITRAZEPAM,NORFLUNITRAZEPAM
NOVOBIOCIN,NOVOBIOCIN
PROPANOL, PROPANOL
REACTIVE,HISTONE
OCTADECANOATE,OCTADECANOATE
OC,ORGANOCHLORINE
OSMIUM, OSMIUM
OXYTETRACYCLINE,OXYTETRACYCLINE
OXYTRIPHYLLINE,OXYTRIPHYLLINE
HPV11,HUMAN
AAP,ALANINE
HPV18,HUMAN
HPV31,HUMAN
HPV33,HUMAN
HPV42,HUMAN
HPV43,HUMAN
HPV44,HUMAN
HPV45,HUMAN
HPV5,HUMAN
HPV51,HUMAN
HPV6,HUMAN
SV40,PAPOVA
HPIVA,PARAINFLUENZA
PARATHION,PARATHION
B19V,PARVOVIRUS
ROQUEFORTE,ROQUEFORTI
PENICILLIUM,PENICILLIUM
PHENAZOPYRIDINE,PHENAZOPYRIDINE
PHENIRAMINE,PHENIRAMINE
PHENOLS,PHENOLS
PHENYLEPHRINE,PHENYLEPHRINE
PHOMA,PHOMA
PICLORAM, PICLORAM
PAI1,PLASMINOGEN
PAI2,PLASMINOGEN
PLUTONIUM, PLUTONIUM
PBB,POLYBROMINATED
POLYMYXIN,POLYMYXIN
PROBENECID,PROBENECID
PROSTAGLANDINS, PROSTAGLANDINS
AERUGINOSA,AERUGINOSA
PSILOCYBIN,PSILOCYBIN
QUININE,QUININE
RAISIN,RAISIN
DYE,DYE
REDFISH,REDFISH
RETINOATE,RETINOATE
ESTER,ESTERS
RETROVIRUS,RETROVIRUS
RICK,RICKETTSIA
SF,SPOTTED FEVER
SASAPYRINE,SASAPYRINE
SCL70,70
2BUTANOL,2
SHIGELLA,SHIGELLA
GQ1A,GANGLIOSIDE
SS,SYNDROME
ADH,ALCOHOL
WT,WEIGHT
COLL,AGGREGATION
PNEUM1,PNEUMONIAE
PNEUM12F,PNEUMONIAE
PNEUM18C,PNEUMONIAE
PNEUM18,PNEUMONIAE
PNEUM19F,PNEUMONIAE
PNEUM23F,PNEUMONIAE
PNEUM36A,PNEUMONIAE
PNEUM6B,PNEUMONIAE
PNEUMA,PNEUMONIAE
PNEUMB,PNEUMONIAE
ASO,STREPTOLYSIN
SUCCINYLPURINES, DEPRECATED
SULFADIAZINE,SULFADIAZINE
SULFALAZINE,SULFALAZINE
NUM,NUMBER
SULFAMEDRAXOZOLE,SULFAMEDRAXOZOLE
SULFIDE, HYDROGEN
SULFONAMIDE,SULFONAMIDE
CHLORTETRACYCLINE,CHLORTETRACYCLINE
TERPINEOL, TERPINEOL
2ME2PROPANOL,2
WKLY,WEAKLY
EPITESTOST,EPITESTOSTERONE
TETRACHLOROETHANE, TETRACHLOROETHANE
TETRAETHYL, TETRAETHYL
THEBAINE,THEBAINE
CARB,GAS
C14,FATTY
C26,ACIDS
ABS,ABSOLUTE
TSI,THYROID STIMULATING IMMUNOGLOBULINS
TOPIRAMATE,TOPIRAMATE
TOXAPHENE,TOXAPHENE
NONACHLOR, TRANS
IMMOB,AB
C24,ACIDS
C22,ACIDS
CHLORAL,CHLORAL
HYDRATE,HYDRATE
TCPA,TRICHLOROPHENOXYACETATE
TCT,TRICHLOROTHIAZIDE
T3RU,TRIIODOTHYRONINE
TRIMET, TRIMETHYLAMINE
AMINE, TRIMETHYLAMINE
TROMETHAMINE,TROMETHAMINE
TRYPSINOGEN,TRYPSINOGEN
VERAPAMIL,VERAPAMIL
WEEV,WESTERN
YERSINIA,YERSINIA
21HYDROXYLASE,21
PARASITE,PARASITE
RAI,RADIOACTIVE
UPTAKE,VIEWS
NM,NM
LUC,LARGE UNSTAINED CELLS
SHIFT,SHIFT
SOLN,SODIUM
COLLOIDAL, THYROID
TM,URINE
CD45,CD45
CD41A,CD41A
FUCOSIDASE, ALPHA
AG27,AG
AG72,AG
AA,ARTERIES
NITROGEN,NITROGEN
UREALYTICUM,UREALYTICUM
GM1B,GANGLIOSIDE
A1C,A1C
HPLC,HPLC
HEAT,PHOSPHATASE
DENAT,HEAT
ORG,AEROBE
LN,LYMPH
A4C,AT
AML,ANTERIOR
INTERVAL,INTERVAL
ACCEL,VALVE
DIM,DIMENSION
2CH,APICAL
4CH,APICAL
OUTPUT,OUTPUT
COARCT,COARCTATION
CUSP,VALVE
SEP,MAXIMUM
EXCURSION,E
REGURG,VALVE
DECEL,VALVE
SUSC,SUSCEPTIBILITY
CINOXACIN,CINOXACIN
2T,HALF
AS,AS
VS,VIEWS
PRESS,PRESSURE
TA,THORACIC
ATA,ASCENDING THORACIC AORTA
DTA,DESCENDING THORACIC AORTA
JUNC,JUNCTION
ANN,VALVE
OA,ORGANIC
EL,2D
PHT,VALVE
DT,JET
SYST,SEQUENCE
CW,CW
EPSS,MITRAL
EJECTION,VENTRICULAR
TEICHHOLZ,M
COLLAPSE,CAVA
INSP,DELIVERY
FS,VENTRICULAR
THICKENING,INTEREST
FREEWALL,THICKENING
LVPW,LEFT
CHNG,WALL
THICKNESS;CHANGE,FRACTIONAL
V1V2,US
SIMP,DUR
BERN,SYSTOLE
IMAGE, IMAGE
QUAL,QUALIFICATION
EJECT,PRE
INTRACHAMBER,VENTRICULAR
JVD,PRESSURE
ISOVOLUMIC,ISOVOLUMIC
RELAXATION,ISOVOLUMIC
A2C,SYSTOLIC
MINIMUM,MINIMUM
ES,VENTRICULAR
MYO,VENTRICULAR
VTI,VALVE
PARASTERNAL,OUTFLOW
PROCED,PROCEDURE
PROSTH,VALVE
TYP,TYPE
DEG,DEGREE
APPEAR,WALL
SWM,ANTERIOR
LAT,LATERAL
SEPT,MID
PAPILLARY,AXIS
STAGE,STAGE
CENT,CARDIOVASCULAR
SWT,VENTRICULAR
PWT,THICKNESS
MOTION,MOTION
MANNOSIDASE, ALPHA
ESR,ERYTHROCYTE SEDIMENTATION RATE
WESTRGRN,2H
ACEBUTOLOL,ACEBUTOLOL
GLUCOSYLCERAMIDASE, GLUCOSYLCERAMIDASE
CAFFEINE,CAFFEINE
CARBON, CARBON
DIS,DISEASE
UBIQUINONE10,COENZYME
D5PREGNANETRIOL,DELTA
EPIDIS, EPIDERMIS
NAPHTHYLESTERASE, ALPHA
SHAPE,SHAPE
THYMOSIN, ALPHA
SIZE,SIZE
G6PD,GLUCOSE
HEPARAN, HEPARAN
HYDROCORTICOSTERN,HYDROCORTICOSTERONE
FLUV,INFLUENZA
KETONE,KETONE
3DCB,3
PABA,PARA
SILICATE,SILICATE
VIP,VASOACTIVE INTESTINAL PEPTIDE
ULTRACENT,SERUM
ASSAY,PHENX
ANTIGENS,BLOOD
PRESENT,PRESENT
ABSENT,ABSENT
APT,DOWNEY
DOWNEY,METHOD
BACKGROUND,BACKGROUND
TP,CORRECTED
MZ,1
CD11,CD11
CD198,CD198
CDA,C
PARTUM,FETAL
HTLA,HIGH
SZ,1
PELGER,PELGER
HUET,HUET
SATEL,SATELLITISM
ZZ,1
VAC,BIOPSY
NORKETAMINE,NORKETAMINE
MTBE,METHYL
PLTS,GROWTH
VII,FACTOR
MACROGLOB,2
RETINOL,ALPHA
ACNT,AG
CHONDROTIN, CHONDROITIN
CYC,CYTOCHROME
METHYL, METHYL
NAG,N
TRANSCORTIN,TRANSCORTIN
DRY,DRY
CHLOROTHIAZIDE,CHLOROTHIAZIDE
PARALDEHYDE,PARALDEHYDE
A24,A24
PV1,POLIO VIRUS 1
PV2,POLIO VIRUS 2
PV3,POLIO VIRUS 3
ARSENATE, ARSENATE
TRIOXIDE, ARSENIC
NRATE,HOUR
DR16, HLA
NIDULANS,NIDULANS
CEPHALOSPOR,CEPHALOSPORINE
OXYSPORUM,OXYSPORUM
ZUCCHINI,ZUCCHINI
ASPERGILLUS,ASPERGILLUS
2DCB,2
SUFENTANIL,SUFENTANIL
ACETYLCARN,ACETYLCARNITINE
ACRYLYLCARN,ACRYLYLCARNITINE
PROPIONYLCARN,PROPIONYLCARNITINE
BUTYRYLCARN,BUTYRYLCARNITINE
ION,ION
CROTONYLCARN,CROTONYLCARNITINE
ISOVALERYLCARN,HYDROXYISOVALERYLCARNITINE
BUTYRCARN,HYDROXYBUTYRYLCARNITINE
HEXANOYLCARN,HEXANOYLCARNITINE
BENZOYLCARN,BENZOYLCARNITINE
MALONYLCARN,C4
OCTENOYLCARN,OCTENOYLCARNITINE
OCTANOYLCARN,OCTANOYLCARNITINE
GLUTARYLCARN,GLUTARYLCARNITINE
ADIPOYLCARN,ADIPOYLCARNITINE
CIS4DECENOYLCARN,CIS
DECANOYLCARN,DECANOYLCARNITINE
SUBERYLCARN,SUBERYLCARNITINE
DODECENOYLCARN,DODECENOYLCARNITINE
DODECANOYLCARN,DODECANOYLCARNITINE
TDECADIENOYLCARN,TETRADECADIENOYLCARNITINE
TDECENOYLCARN,TETRADECENOYLCARNITINE
TDECADIENOYLCAR,HYDROXYTETRADECADIENOYLCARNITINE
PALMITOYLCARN,PALMITOYLCARNITINE
LINOLEOYLCARN,LINOLEOYLCARNITINE
OLEOYLCARN,OLEOYLCARNITINE
AGL,AMYLO
DICARBOXYOLEYLCARN,DICARBOXYOLEYLCARNITINE
METOCLOPRAMIDE,METOCLOPRAMIDE
HER2, HER2
51,51
KU,KU
MI2,MI
BROAD,BROAD
CASTS,CASTS
LPF,SEDIMENT
SUPERF,OBSERVATION
PP,PP
INTERV,INTERVENTION
AX,AXILLARY
HP,HORIZONTAL PLANE
REFB,PLANE
QRS,QRS
OFFSET,OFFSET
FP,FIRST PASS
Q,Q
J,ST
PNT,AMPLITUDE
20MS,20
60MS,60
80MS,80
ADMITTED,ADMITTED
DESTINATION,DESTINATION
REHAB,REHABILITATION
ANGIOTENSINOGEN, ANGIOTENSINOGEN
ANILINE, ANILINE
GAP4,GAP
B100,B
B150,B
ATTEND,ATTENDING
EVAL,EVALUATION
B48, HLA
ARTHROSCOPY,ARTHROSCOPY
AUTOPSY,AUTOPSY
BRONCHOSCOPY,BRONCHOSCOPY
COLONOSCOPY,COLONOSCOPY
DIAGNOSTIC,DIAGNOSTIC
ELECTROMYOGRAM,ELECTROMYOGRAM
ELECTROPHYSIOLOGY,CLINICAL
EXERCISE,EXERCISE
FLEX,FLEXION
SIGMOIDOSCOPY,SIGMOIDOSCOPY
HOLTER,HOLTER
MR,MR
SPIROMETRY,SPIROMETRY
TRANSFER,TRANSFER
CONSULTANT,CONSULTANT
NAME,NAME
PLAN,PLAN
SERVICES,SERVICES
NAR,BLOOD
CONSULTATIONS,CONSULTATIONS
IMPRESSION,IMPRESSION
ALMECILLIN,ALMECILLIN
SULBAC,SULBACTAM
BACAMPICILLIN,BACAMPICILLIN
BUTIROSIN,BUTIROSIN
CARBENICILLIN,CARBENICILLIN
CEFAMANDOLE,CEFAMANDOLE
CEFATRIZINE,CEFATRIZINE
CEFEPIME,CEFEPIME
CEFODIZIME,CEFODIZIME
CEFONOCID,CEFONICID
B12A, AQUACOBALAMIN
CEFPIROME,CEFPIROME
ARGINASE,ARGINASE
COLISTIMETHATE,COLISTIMETHATE
CYCLACILLIN,CYCLACILLIN
FLOXACILLIN,FLOXACILLIN
FRAMYCETIN,FRAMYCETIN
FUSIDATE,FUSIDATE
SYNERGY,HIGH
GRAMICIDIN,GRAMICIDIN
HETACILLIN,HETACILLIN
CILASTATIN,CILASTATIN
ISONIAZID,ISONIAZID
KANAMYCIN,KANAMYCIN
POT,POTENCY
LINCOMYCIN,LINCOMYCIN
LOMEFLOXACIN,LOMEFLOXACIN
LORACARBEF,LORACARBEF
LYMECYCLINE,LYMECYCLINE
MECLOCYCLINE,MECLOCYCLINE
MEROPENEM,MEROPENEM
METHACYCLINE,METHACYCLINE
METHICILLIN,METHICILLIN
MEZLOCILLIN,MEZLOCILLIN
MINOCYCLINE,MINOCYCLINE
MIOCAMYCIN,MIOCAMYCIN
MOXALACTAM,MOXALACTAM
NETILMICIN,NETILMICIN
NITROFURANTOIN,NITROFURANTOIN
NORFLOXACIN,NORFLOXACIN
OFLOXACIN,OFLOXACIN
OLEANDOMYCIN,OLEANDOMYCIN
OXACILLIN,OXACILLIN
PEFLOXACIN,PEFLOXACIN
PHENETHICILLIN,PHENETHICILLIN
PIPEMIDATE,PIPEMIDATE
PIPERACILLIN,PIPERACILLIN
PIP,PIPERACILLIN
TAZO,TAZOBACTAM
PIVAMPICILLIN,PIVAMPICILLIN
RISTOCETIN,RISTOCETIN
ROLITETRACYCLINE,ROLITETRACYCLINE
ROSOXACIN,ROSOXACIN
ROXITHROMYCIN,ROXITHROMYCIN
SISOMICIN,SISOMICIN
SPECTINOMYCIN,SPECTINOMYCIN
SPIRAMYCIN,SPIRAMYCIN
STREPTOMYCIN,STREPTOMYCIN
ASA, ARGININOSUCCINATE
LYASE, ARGININOSUCCINATE
TALAMPICILLIN,TALAMPICILLIN
TEICOPLANIN,TEICOPLANIN
TEMAFLOXACIN,TEMAFLOXACIN
TEMOCILLIN,TEMOCILLIN
TETRACYCLINE,TETRACYCLINE
TICARCILLIN,TICARCILLIN
TMP,TRIMETHOPRIM
SMX,SULFAMETHOXAZOLE
TROLEANDOMYCIN,TROLEANDOMYCIN
VIOMYCIN,VIOMYCIN
SAQUINAVIR,SAQUINAVIR
ALLERGENS,ALLERGENS
CTO,CUTOFF
BANK,BANK
PH7,TO
START,START
ELECTROLYTES,ELECTROLYTES
EVENTS,EVENTS
GENETIC,GENETIC
GP41,1
GP43,GP41
MOTHERS,MOTHERS
CD42,CD42
ARDS,SPUTUM
CATH,PLACEMENT
CULTURE,BLOOD
PATHOLOGIST,PATHOLOGIST
REASON,REASON
DRG,GENE
TST,SPECIMENS
REF,REFERENCE
RESULTS,RESULTS
CANDIDATE,CANDIDATE
ACCEPTABLE,SPECIMEN
DRAWN,DRAWN
ACCEPTIBLE,SPECIMEN
METH,METHOD
URN,URINE
AG19,AG
19,HLA
TPS,TISSUE POLYPEPTIDE SPECIFIC
AG15,AG
AG549,AG
SCC,SQUAMOUS CELL CARCINOMA
DEFICIT,DEFICIT
SAO2,OXYGEN
DO,DO
TESTED,TESTED
BROMAZEPAM,BROMAZEPAM
ENDORPHIN,ENDORPHIN
FRUCTOFURANOSIDASE,FRUCTOFURANOSIDASE
DIMETAMPHET,DIMETAMPHETAMINE
FLUNITRAZEPAM,FLUNITRAZEPAM
CCN,SERUM
LIPOTROPIN,LIPOTROPIN
